Dataset,Interval,Coverage (metric),Coverage (empirical),Avg Width (metric),Avg Width (empirical),Median Width (metric),Median Width (empirical)
Test,q10-q90,0.8774860779634049,0.8774860779634049,15.752236094755508,15.752236094755508,15.021608829498291,15.021608829498291
Test,q25-q75,0.5648369132856006,0.5648369132856006,7.825890065756884,7.825890065756884,,7.835878372192383
Train,q10-q90,0.8743948175929083,0.8743948175929083,14.45037808525131,14.45037808525131,13.80146074295044,13.80146074295044
Train,q25-q75,0.555472212751449,0.555472212751449,7.1146278453385285,7.1146278453385285,,7.174017906188965
Validation,q10-q90,0.8663484486873508,0.8663484486873508,14.733465761869818,14.733465761869818,14.348736763000488,14.348736763000488
Validation,q25-q75,0.5505171042163882,0.5505171042163882,7.279267481066636,7.279267481066636,,7.441557884216309
