Dataset,Demand_Pattern,Model,MAE,RMSE,WAPE,sMAPE,R2,MASE,Bias,Directional_Accuracy,Zero_HitRate,Mean_Pred,Std_Pred,Mean_Actual,Std_Actual
Test,ALL,LightGBM,3.936667421209142,5.6132234678800685,0.2701381672921274,0.3173631071438434,0.6770281525753835,0.6367616578288418,-0.3792498264200698,0.5772292993630573,0.0,14.193542536348426,7.996550099480711,14.572792362768496,9.877112454386674
Test,ALL,Transformer,3.900356607012267,5.447985597851282,0.2676464818763917,0.3204184369868056,0.6957630876447028,0.6308883310345718,-0.4262101562988592,0.4697452229299363,0.0,14.146582206469636,7.45773095943993,14.572792362768496,9.877112454386674
Test,Smooth,LightGBM,3.936667421209142,5.6132234678800685,0.2701381672921274,0.3173631071438434,0.6770281525753835,0.6367616578288418,-0.3792498264200698,0.5772292993630573,0.0,14.193542536348426,7.996550099480711,14.572792362768496,9.877112454386674
Test,Smooth,Transformer,3.900356607012267,5.447985597851282,0.2676464818763917,0.3204184369868056,0.6957630876447028,0.6308883310345718,-0.4262101562988592,0.4697452229299363,0.0,14.146582206469636,7.45773095943993,14.572792362768496,9.877112454386674
Train,ALL,LightGBM,3.7459966800541653,5.251704069954022,0.2776095393963775,0.3733784038406082,0.7345692334661493,0.7466128687692796,-0.6469822164531749,0.557214948172395,0.01881720430107527,12.846778438166668,8.248469150329074,13.493760654619843,10.193530231556192
Train,ALL,Transformer,3.6934660962649755,5.101838227098292,0.2737165858207409,0.3789358827999189,0.7495020727865078,0.7361430223677059,-1.0038641042974348,0.4136661211129296,0.10752688172043011,12.489896550322408,8.650951743999824,13.493760654619843,10.193530231556192
Train,Smooth,LightGBM,3.7459966800541653,5.251704069954022,0.2776095393963775,0.3733784038406082,0.7345692334661493,0.7466128687692796,-0.6469822164531749,0.557214948172395,0.01881720430107527,12.846778438166668,8.248469150329074,13.493760654619843,10.193530231556192
Train,Smooth,Transformer,3.6934660962649755,5.101838227098292,0.2737165858207409,0.3789358827999189,0.7495020727865078,0.7361430223677059,-1.0038641042974348,0.4136661211129296,0.10752688172043011,12.489896550322408,8.650951743999824,13.493760654619843,10.193530231556192
Validation,ALL,LightGBM,3.9741195407813845,5.251263830921016,0.2799993421198027,0.3429827503120101,0.6950045059300578,0.6369951678433844,0.003585265177716635,0.5644904458598726,0.0,14.196902687612084,8.128333483844283,14.193317422434367,9.508612010165496
Validation,ALL,Transformer,3.936124118814036,5.343681952835639,0.27732234837433273,0.3381927043678443,0.6841746763183384,0.6309050389620038,-1.307851287231809,0.47611464968152867,0.0,12.885466135202558,7.194306886099499,14.193317422434367,9.508612010165496
Validation,Smooth,LightGBM,3.9741195407813845,5.251263830921016,0.2799993421198027,0.3429827503120101,0.6950045059300578,0.6369951678433844,0.003585265177716635,0.5644904458598726,0.0,14.196902687612084,8.128333483844283,14.193317422434367,9.508612010165496
Validation,Smooth,Transformer,3.936124118814036,5.343681952835639,0.27732234837433273,0.3381927043678443,0.6841746763183384,0.6309050389620038,-1.307851287231809,0.47611464968152867,0.0,12.885466135202558,7.194306886099499,14.193317422434367,9.508612010165496
