Dataset,Quantile,Pinball Loss,Calibration,Empirical CDF,Mean Prediction,Median Prediction,Std Prediction
Test,q10,0.8009973272165924,0.10898965791567224,0.10898965791567224,8.968097966699295,7.849555926814249,6.507861134907129
Test,q25,1.5051909110519683,0.2617342879872713,0.2617342879872713,11.255125541862158,10.548062815041945,6.916691624356117
Test,q50,1.968333710604571,0.5163086714399363,0.5163086714399363,14.193542536348426,13.434186327442774,7.996550099480711
Test,q75,1.7116292339372132,0.7645186953062848,0.7645186953062848,17.513775760376177,17.035702684685084,8.505927015302001
Test,q90,1.03709771833944,0.8973747016706444,0.8973747016706444,20.90628453229133,20.179664246528603,9.780873324896511
Train,q10,0.6861295701837203,0.09785202863961814,0.09785202863961814,7.737031238281239,6.365170982840816,6.5401581034812555
Train,q25,1.3808088305185264,0.2469144220934197,0.2469144220934197,9.854546514977132,8.80040914672264,7.132999545523313
Train,q50,1.8729983400270827,0.49819297647459937,0.49819297647459937,12.846778438166668,11.837394825252032,8.248469150329074
Train,q75,1.6413373167655145,0.7594953972042278,0.7594953972042278,16.345459980472913,15.633666894474825,8.89925894763125
Train,q90,0.9128176363806033,0.9031708148653256,0.9031708148653256,19.68668801846754,18.950427117235577,10.454838000908671
Validation,q10,0.7946217111788478,0.1424025457438345,0.1424025457438345,8.945943113449788,7.927878749617024,6.494756518239409
Validation,q25,1.5196917796469656,0.2856006364359586,0.2856006364359586,11.198284221522254,10.58039495465967,7.007473538466521
Validation,q50,1.9870597703906923,0.5178997613365155,0.5178997613365155,14.196902687612084,13.609581906110904,8.128333483844283
Validation,q75,1.6798002898551234,0.7549721559268099,0.7549721559268099,17.425636671524522,17.20305845053593,8.637029922107388
Validation,q90,0.9506779878369558,0.8973747016706444,0.8973747016706444,20.738463999471936,20.14147042476589,9.888981402249053
