Dataset,Interval,Coverage (metric),Coverage (empirical),Avg Width (metric),Avg Width (empirical),Median Width (metric),Median Width (empirical)
Test,q10-q90,0.7883850437549722,0.7883850437549722,11.938186565592034,11.938186565592034,12.279651183384384,12.279651183384384
Test,q25-q75,0.5027844073190135,0.5027844073190135,6.258650218514019,6.258650218514019,,6.364146476492991
Train,q10-q90,0.8053187862257075,0.8053187862257075,11.9496567801863,11.9496567801863,12.248931503881686,12.248931503881686
Train,q25-q75,0.512580975110808,0.512580975110808,6.4909134654957805,6.4909134654957805,,6.575687861267614
Validation,q10-q90,0.7549721559268099,0.7549721559268099,11.792520886022142,11.792520886022142,12.087982990021983,12.087982990021983
Validation,q25-q75,0.4693715194908512,0.4693715194908512,6.227352450002267,6.227352450002267,,6.41963366823895
