PN,Records,Train,Validation,Test,LightGBM_MAE,Transformer_MAE,Better_Model,Improvement_Pct
024147-000,41,35,3,3,5.6196979525216975,5.573674972804877,Transformer,0.8189582448318009
121762-4,41,35,3,3,4.851364677102306,5.213975519756096,LightGBM,6.954594268420211
1706903,41,35,3,3,6.079514971990391,5.973337510487805,Transformer,1.746479151573244
1862M48P02,41,35,3,3,1.8555673212963057,1.7292821833170733,Transformer,6.8057427251418305
340-001-038-0,41,35,3,3,4.203552990006973,3.862010997073171,Transformer,8.125078802283285
442653,41,35,3,3,10.931931685144658,9.832568056585366,Transformer,10.056444370698102
55L492,41,35,3,3,1.0324382468243987,1.1280024520975611,LightGBM,8.47198559679169
