PN,Dataset,Count,LGB_Winkler_80CI_Mean,LGB_Winkler_80CI_Std,LGB_PICP_80CI,LGB_Winkler_50CI_Mean,LGB_Winkler_50CI_Std,LGB_PICP_50CI,LGB_Q10,LGB_Q90,LGB_Median_Q10_Q90,LGB_Q25,LGB_Q75,LGB_Median_Q25_Q75,LGB_MAE_Mean,LGB_MAE_Std,TF_Winkler_80CI_Mean,TF_Winkler_80CI_Std,TF_PICP_80CI,TF_Winkler_50CI_Mean,TF_Winkler_50CI_Std,TF_PICP_50CI,TF_Q10,TF_Q90,TF_Median_Q10_Q90,TF_Q25,TF_Q75,TF_Median_Q25_Q75,TF_MAE_Mean,TF_MAE_Std,LGB_PICP_80CI_Pct,LGB_PICP_50CI_Pct,TF_PICP_80CI_Pct,TF_PICP_50CI_Pct
019-012-001,Test,3,9.945188110916707,0.32104007089980396,0.6666666666666666,6.152859021689157,1.0252213367823753,0.6666666666666666,3.2700668312033963,13.08278067739902,9.932070131322153,4.881049169946893,10.057021528696877,4.948852407391605,3.357690167900724,3.3688860429621603,11.012391853332518,0.3554222118465423,0.6666666666666666,6.34052038192749,1.0208646270166122,0.6666666666666666,3.2221,14.162179,10.878865,5.309955,10.931106,5.601541,3.5654067993164067,2.978154251124707,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
019-012-001,Validation,3,9.661026437429614,0.7229997309212617,1.0,4.855253375744644,0.3032278790230346,1.0,3.112532213054504,12.77355865048412,9.748169134386343,4.841535698547851,9.696789074292495,4.685912862591342,1.2298614553579477,0.8867808979407705,9.255777676900228,0.86557403951991,1.0,5.021822293599446,0.4839898928351203,0.6666666666666666,2.1828136,11.438591,9.185105,3.88284,8.669544,4.6917415,2.385874748229981,1.50080633193457,100.0,100.0,100.0,66.66666666666666
024147-000,Test,3,15.258660842016022,0.9608994767367343,0.6666666666666666,10.283487770889593,2.3124533607038407,0.3333333333333333,21.2645262083999,35.978686049820865,14.912354828989468,23.075897501543825,30.89809861630181,7.683678213674057,7.896326386744305,5.1455323575950915,24.417198053995765,1.959773433011346,0.6666666666666666,13.568275451660156,2.5507550716422185,0.3333333333333333,15.927505,40.08545,24.340223,21.474184,32.79443,11.302811,10.32558059692383,3.160025687468617,66.66666666666666,33.33333333333333,66.66666666666666,33.33333333333333
024147-000,Validation,3,14.850975028845903,1.1533232332540286,0.6666666666666666,8.816676748878022,1.0772983099873572,0.6666666666666666,22.40132540827025,37.222825643863246,14.499845548755648,24.097263491313157,32.549539515650956,8.100712725943339,2.9699869574519027,3.5183749485988414,25.163914998372395,1.5201563349286422,1.0,12.149122556050619,0.5074314070054396,0.3333333333333333,16.870438,42.03435,24.934336,22.687788,34.187878,11.520823,5.739647547403975,2.5563868161943226,66.66666666666666,66.66666666666666,100.0,33.33333333333333
066-01212-0102,Test,3,11.657613213502492,0.9780728911342562,1.0,6.277920121512653,0.4188027135030115,0.3333333333333333,7.222192782646412,18.879805996148903,11.110859852713187,9.897637895343472,15.864645976750117,5.925924371246303,3.0662869432720687,0.4933942184244296,14.485467274983725,0.5423448399762101,1.0,7.9556474685668945,0.779968351184404,0.6666666666666666,6.3393,20.824768,14.520954,9.398818,16.959887,7.57213,3.770789146423338,1.2501089456689036,100.0,33.33333333333333,100.0,66.66666666666666
066-01212-0102,Validation,3,11.435757413598163,0.9322251261747942,0.6666666666666666,6.010040047323638,0.22063669002799416,0.6666666666666666,7.374118772708826,18.7083349517597,11.9394946288723,10.42949629731415,15.754385553608335,5.7522750073899225,3.024540543559375,2.446489743609241,13.659951527913412,0.22691894607200153,1.0,7.4773915608723955,0.6519098095205996,0.6666666666666666,5.3920574,19.05201,13.52999,8.19773,15.300511,7.038108,3.8120253880818673,2.2722808363614093,66.66666666666666,66.66666666666666,100.0,66.66666666666666
066-50007-0432,Test,3,9.748314467455979,0.6685109847050924,1.0,5.997362590111796,1.0412135031007677,0.6666666666666666,5.530181599960321,15.278496067416299,9.567653200354872,7.188673238150635,12.823540255495393,5.729727370509213,2.351459024272014,2.090246747781305,13.39184538523356,0.47577447588156035,1.0,7.399604479471843,0.39961126289425924,0.3333333333333333,5.1808324,18.572678,13.160327,7.894529,14.837865,6.834469,3.5945549011230455,2.026221627808022,100.0,66.66666666666666,100.0,33.33333333333333
066-50007-0432,Validation,3,10.003561677602749,0.9546297159035936,1.0,5.5645166728944835,0.6955402904415998,0.3333333333333333,5.7494256156969,15.752987293299649,9.914384649060672,7.778898965449728,13.149034302426642,5.801915474431469,2.607532774392705,1.114119657672836,12.428693453470865,0.38134603230802094,1.0,6.388601303100586,0.21769122128803317,1.0,4.34495,16.773643,12.388817,6.813232,13.201833,6.3645935,1.990316708882651,0.40408365478982194,100.0,33.33333333333333,100.0,100.0
066-50008-0406,Test,3,15.063864116676646,0.5373424654473508,1.0,8.282260654808555,0.501351724261429,0.3333333333333333,12.181527256806442,27.245391373483088,14.926521522246821,15.610605899060511,23.359396545415688,7.646669022538521,3.9447348891142133,2.39949988819488,17.081201553344727,1.1684292151741227,1.0,9.18915875752767,0.8257823668811942,0.6666666666666666,9.15419,26.235392,16.551369,13.003757,21.492075,8.190428,3.9105736414591483,3.9958233068421984,100.0,33.33333333333333,100.0,66.66666666666666
066-50008-0406,Validation,3,14.027857553899517,0.44770237006273356,0.6666666666666666,8.816185606210977,1.6245153189261807,0.3333333333333333,14.311263458321314,27.957133458916974,13.557133147247296,16.54312225840508,23.824040980642923,7.261282882592624,6.417540205196667,4.155366896490114,18.22227814992269,0.8514439746591231,0.6666666666666666,9.634276866912842,0.9561570211640361,0.3333333333333333,10.110634,28.264544,17.937796,14.317821,23.006088,8.555978,4.836560567220052,2.21968153844396,66.66666666666666,33.33333333333333,66.66666666666666,33.33333333333333
