Part_Number,Records,Train,Validation,Test,LightGBM_MAE,Transformer_MAE,Better_Model,Improvement_Pct
024147-000,41,35,3,3,6.520031088303169,5.3809677197560974,Transformer,17.47021376309896
121762-4,41,35,3,3,4.956570975476534,4.893482592682926,Transformer,1.2728231494262525
1706903,41,35,3,3,6.411914846150573,5.629066102439024,Transformer,12.209281665391051
1862M48P02,41,35,3,3,1.9572763004631781,1.6008730936585365,Transformer,18.209141280681777
340-001-038-0,41,35,3,3,4.179100090801439,3.7025125395853653,Transformer,11.404071232107707
442653,41,35,3,3,14.10041093211249,8.19057349512195,Transformer,41.912519184326655
55L492,41,35,3,3,1.0467960349696699,1.2521014913658537,LightGBM,16.396870206761477
