AircraftFamily,fleet_count,age_mean,age_median,age_min,age_max,build_year_min,build_year_max,build_year_mean,order_year_min,order_year_max,order_year_mean,lease_start_year_median,num_operators,num_owners,num_countries_operated_for,age_0_8_count,age_0_8_share,age_8_15_count,age_8_15_share,age_15_20_count,age_15_20_share,age_20_30_count,age_20_30_share,age_30_plus_count,age_30_plus_share,age_15_25_count,age_15_25_share,age_25_plus_count,age_25_plus_share,share_owned,share_leased,share_operating_lease,share_finance_lease,share_gov_mil,share_commercial
Comet Family,122,67.4342971914588,66.39561943874058,58.41204654346338,76.23271731690623,1949.0,1967.0,1957.8360655737704,1946.0,1965.0,1955.9173553719008,1964.0,37,36,11,0,0.0,0,0.0,0,0.0,0,0.0,122,1.0,0,0.0,122,1.0,0.9918032786885246,0.00819672131147541,0.00819672131147541,0.0,0.2540983606557377,0.5819672131147541
Concorde Family,20,50.37713894592745,49.790554414784395,46.50239561943874,56.63518138261465,1969.0,1979.0,1975.0,1972.0,1977.0,1973.3846153846155,,12,12,4,0,0.0,0,0.0,0,0.0,0,0.0,20,1.0,0,0.0,20,1.0,1.0,0.0,0.0,0.0,0.0,0.45
Convairliner,102,64.84562010978244,64.79945242984257,63.13483915126626,66.7296372347707,1959.0,1962.0,1960.6470588235295,1956.0,1962.0,1957.5098039215686,1976.0,42,42,12,0,0.0,0,0.0,0,0.0,0,0.0,102,1.0,0,0.0,102,1.0,0.9607843137254902,0.0392156862745098,0.029411764705882353,0.0,0.058823529411764705,0.47058823529411764
DC-10 Family,448,48.25167448909748,49.639972621492134,36.88432580424367,55.22792607802874,1970.0,1988.0,1977.0714285714287,1968.0,1988.0,1974.7299107142858,2004.0,140,136,32,0,0.0,0,0.0,0,0.0,0,0.0,448,1.0,0,0.0,448,1.0,0.96875,0.03125,0.029017857142857144,0.0,0.13839285714285715,0.42410714285714285
DC-8 Family,560,60.18338222352596,59.137577002053376,53.5441478439425,67.4715947980835,1958.0,1972.0,1965.1285714285714,1955.0,1971.0,1963.0161001788908,1990.0,240,236,49,0,0.0,0,0.0,0,0.0,0,0.0,560,1.0,0,0.0,560,1.0,0.9642857142857143,0.03571428571428571,0.02857142857142857,0.0,0.017857142857142856,0.5410714285714285
DC-9 Family,976,54.63641565960884,56.54072553045859,43.15126625598905,60.4517453798768,1965.0,1982.0,1970.6670081967213,1963.0,1981.0,1969.1055327868853,1991.0,227,226,45,0,0.0,0,0.0,0,0.0,0,0.0,976,1.0,0,0.0,976,1.0,0.9836065573770492,0.01639344262295082,0.011270491803278689,0.0010245901639344263,0.055327868852459015,0.5112704918032787
DHC-7 Family,113,44.085091433313345,44.30390143737166,36.92539356605065,50.56810403832991,1975.0,1988.0,1981.2654867256638,1974.0,1987.0,1979.6283185840707,1999.0,48,47,19,0,0.0,0,0.0,0,0.0,0,0.0,113,1.0,0,0.0,113,1.0,0.9734513274336283,0.02654867256637168,0.02654867256637168,0.0,0.10619469026548672,0.5663716814159292
DHC-8 Family,1329,23.269879675681075,23.17043121149897,2.803559206023272,44.62696783025325,1981.0,2022.0,2002.0195635816403,1981.0,2019.0,2000.4387291981845,2019.0,261,264,73,89,0.06696764484574869,224,0.16854778028592926,288,0.21670428893905191,316,0.23777276147479307,412,0.31000752445447705,435,0.327313769751693,581,0.43717080511662904,0.764484574868322,0.23551542513167795,0.19789315274642588,0.013544018058690745,0.09104589917231001,0.6689240030097818
E-Jet Family,2208,11.006382428652204,11.111567419575636,0.06570841889117043,23.66598220396988,2002.0,2025.0,2014.2658514492753,1999.0,2024.0,2011.4917883211679,2020.0,186,190,71,766,0.34692028985507245,720,0.32608695652173914,594,0.26902173913043476,128,0.057971014492753624,0,0.0,722,0.3269927536231884,0,0.0,0.623641304347826,0.3763586956521739,0.2857789855072464,0.010869565217391304,0.004528985507246377,0.8917572463768116
ERJ Family,1227,22.00527822822898,23.21971252566735,5.886379192334017,30.19301848049281,1995.0,2019.0,2003.316218418908,1994.0,2019.0,2001.3821603927986,2018.0,382,379,90,11,0.008964955175224124,116,0.0945395273023635,168,0.13691931540342298,931,0.758761206193969,1,0.0008149959250203749,765,0.6234718826405868,335,0.27302363488182557,0.7652811735941321,0.23471882640586797,0.2632436837815811,0.004074979625101874,0.06030969845150774,0.5191524042379788
Fokker 27/50 Family,1020,51.91335239092214,56.249144421629026,27.80287474332649,69.90554414784394,1955.0,1997.0,1973.3852941176472,1953.0,1995.0,1972.2514734774068,2013.0,433,422,90,0,0.0,0,0.0,0,0.0,15,0.014705882352941176,1005,0.9852941176470589,0,0.0,1020,1.0,0.9205882352941176,0.07941176470588235,0.07058823529411765,0.0,0.16666666666666666,0.5911764705882353
Fokker 28/70/100 Family,622,39.228766800698104,35.80287474332649,28.51471594798084,58.45037645448323,1967.0,1997.0,1986.0418006430868,1967.0,1996.0,1984.0420032310178,2013.0,201,199,66,0,0.0,0,0.0,0,0.0,41,0.06591639871382636,581,0.9340836012861736,0,0.0,622,1.0,0.9389067524115756,0.06109324758842444,0.04983922829581994,0.0,0.04501607717041801,0.6961414790996785
IL-114 Family,20,23.396167008898015,27.13757700205339,0.5557837097878165,35.56194387405886,1990.0,2025.0,2001.9,1990.0,2010.0,2000.4166666666667,,5,5,2,2,0.1,2,0.1,3,0.15,7,0.35,6,0.3,4,0.2,12,0.6,1.0,0.0,0.0,0.0,0.05,0.45
IL-76 Family,973,38.86122290199521,39.71526351813826,0.4380561259411362,54.57357973990418,1971.0,2025.0,1986.568345323741,1969.0,2023.0,1985.1721991701245,1999.0,201,204,48,27,0.02774922918807811,7,0.007194244604316547,6,0.006166495375128468,25,0.025693730729701953,908,0.9331963001027749,22,0.022610483042137718,917,0.9424460431654677,0.9917780061664954,0.008221993833504625,0.0041109969167523125,0.0,0.6392600205549845,0.30935251798561153
